enterprise_id,enterprise_name,industry,region,CRI,EV,EDP,III,EPI,RDP,CPCI,CPCI_bin
ENT_000000,企业_0,教育,江西,1.0000000011001182e-110,0.09207753197899662,0.29821984591952494,0.5,0.21156862176067792,0.21262804218698111,0.2678158087254308,0.30以下
ENT_000001,企业_1,水的生产供应业,黑龙江,1.0,0.17420128060075737,0.3672067626616366,0.0,0.24898493354914347,0.13318059085527256,0.23955815080867798,0.30以下
ENT_000002,企业_2,塑料制品业,上海,1.0,0.136681903782798,0.22639075101220565,0.5,0.21515479510141178,0.5242652384564759,0.5708391243003962,0.50-0.60
ENT_000003,企业_3,家具制造业,重庆,1.0,0.30912724651550716,0.30484335219029657,0.25,0.15239697587767592,0.07704988987166522,0.16847052224636508,0.30以下
ENT_000004,企业_4,专用设备制造业,浙江,1.0,0.19585117382335432,0.5336088311538302,1.0,0.3786904664840509,0.6948482726852789,0.7532830844753529,0.70以上
ENT_000005,企业_5,教育,四川,1.0,0.5986630786815279,0.5063871110812591,0.5,0.21156862176067792,0.1426333041377314,0.27754863998148455,0.30以下
ENT_000006,企业_6,金属制品业,北京,1.0,0.13199357485412594,0.5550909923042308,0.5,0.273370693334969,0.5814022008372526,0.642962281532451,0.60-0.70
ENT_000007,企业_7,铁路航空制造业,江西,1.0,0.24889721599921605,0.4904532796476142,0.5,0.18783342099757408,0.21262804218698111,0.2806295360261346,0.30以下
ENT_000008,企业_8,石油加工业,内蒙古,1.0,0.18347987555984685,0.31244867795389836,0.5,0.015338672075971194,0.07566575613778363,0.107872599828092,0.30以下
ENT_000009,企业_9,石油加工业,海南,1.0,0.5987175569874698,0.4918468135539778,0.5,0.015338672075971194,0.28554346260706687,0.3282320590375868,0.30-0.40
ENT_000010,企业_10,电气机械制造业,西藏,1.0,0.12097725213200607,0.3613346054934518,0.5,0.425968012781628,0.0813948688062305,0.3200538988396222,0.30-0.40
ENT_000011,企业_11,房地产业,江西,1.0,0.1649998845156923,0.5378894229365466,0.5,0.05357583108643641,0.21262804218698111,0.22845830763030206,0.30以下
ENT_000012,企业_12,卫生社会工作,山西,1.0,0.10714868471328304,0.5401994464570539,0.5,0.011331452595746186,0.1914396911450142,0.1983467647835934,0.30以下
ENT_000013,企业_13,电气机械制造业,重庆,1.0,0.17909115531177913,0.4944896871470746,0.5,0.425968012781628,0.07704988987166522,0.32382304634871295,0.30-0.40
ENT_000014,企业_14,酒饮料制造业,四川,1.0,0.151307397982547,0.34610225438684394,0.5,0.3289071793167866,0.1426333041377314,0.2952412024777124,0.30以下
ENT_000015,企业_15,汽车制造业,云南,1.0,0.09869847145499311,0.27110027983356394,0.5,0.1251175564771213,0.0909856973181817,0.1419169987170838,0.30以下
ENT_000016,企业_16,食品制造业,北京,1.0,0.3692573831184195,0.22391912103391212,0.5,0.022257784581105954,0.5814022008372526,0.5508073232681245,0.50-0.60
ENT_000017,企业_17,电气机械制造业,新疆,1.0,0.3614433712951699,0.486467028452765,0.5,0.425968012781628,0.11337227926639427,0.3482699168196073,0.30-0.40
ENT_000018,企业_18,建筑业,重庆,1.0,0.1547311578340379,0.28772424702975147,0.5,0.029324395986088454,0.07704988987166522,0.10501356185821242,0.30以下
ENT_000019,企业_19,科学研究服务业,四川,1.0,0.1740680972258284,0.20090640389180536,0.5,0.19675289899391257,0.1426333041377314,0.2149776291212599,0.30以下
ENT_000020,企业_20,食品制造业,广东,1.0,0.22683513593138166,0.3714400127104701,0.5,0.022257784581105954,0.6914923806655395,0.598119121667745,0.50-0.60
ENT_000021,企业_21,专用设备制造业,黑龙江,1.0,0.13491984821639758,0.24466625082831814,1.0,0.3786904664840509,0.13318059085527256,0.322991707734341,0.30-0.40
