enterprise_id,enterprise_name,industry,region,scale,is_listed,credit_balance,approved_amount,available_amount,avg_deposit,non_interest_income,default_history,loan_status,default_flag,total_assets,total_liabilities,net_assets,revenue,net_profit,roe,roa,debt_ratio,current_ratio,quick_ratio,tobin_q,rd_ratio,employee_growth,revenue_growth,market_share,patent_count,company_age,CRI
ENT_000000,企业_0,教育,江西,中型,0,60236.56289652421,71312.62782026219,11076.064923737984,858.9015518623481,337.95000789632417,0,可疑,1,561330.7653509361,250727.85663945507,310602.908711481,79472.89232607561,-1057.145670999614,-0.1051052918759765,-0.0537665695032364,0.8700003067247799,0.474088864080723,0.2894368750503036,,0.0277178289843225,0.0310787675184022,-0.1027587481939446,0.013255471102115,3,34,1.0000000012001445e-120
ENT_000001,企业_1,水的生产供应业,黑龙江,微型,0,4512.686742231102,6726.721009625774,2214.0342673946725,1006.2881459431007,333.02760760733435,0,次级,0,26498.403486324303,18314.594026703067,8183.809459621236,4625.922835388364,111.47889959944804,0.01362188356773,0.0042070043826218,0.6911583951144505,2.41876673848841,1.9016128480330008,,0.043121521924156,0.0990006382313251,-0.0447010218124015,0.1591012789055265,5,17,1.0
ENT_000002,企业_2,塑料制品业,上海,中型,1,31589.14286258891,42905.669964509296,11316.527101920386,20080.48939376686,1996.173880049218,0,关注,0,545795.9242797439,258580.67360793424,287215.25067180966,101380.23696226184,-1227.7855965799804,-0.0042747924899814,-0.002249532365417,0.4737680552473318,0.6781317133034124,0.5620068811357222,0.9371163454867102,0.0411412681920075,-0.0903153108188059,0.0397561711893635,0.0188887958629749,7,11,1.0
ENT_000003,企业_3,家具制造业,重庆,中型,0,27819.96834297628,41001.557647925045,13181.589304948764,3170.910846339387,148.36421283095535,0,关注,0,74210.0973839541,26728.949856848285,47481.147527105815,64907.278177273125,14307.566827639288,0.3013315299397819,0.1927981141651608,0.3601794203092865,2.805301089903045,2.30221931852826,,0.0016547789678356,0.021860176808474,0.0322144737301714,0.0763494572576553,5,29,1.0
ENT_000004,企业_4,专用设备制造业,浙江,微型,0,949.3130033351654,1159.4474403050997,210.1344369699343,700.9744058701654,415.69103829493145,0,正常,0,12954.513266590133,6300.902948443907,6653.610318146224,4025.964379784972,798.6656713023593,0.1200349333840875,0.0616515383377721,0.4863866992744546,0.6274350894791534,0.5297604307927638,,0.1238135542877435,0.1239424715700454,0.1283118533791589,0.1029949340535481,5,34,1.0
ENT_000005,企业_5,教育,四川,小型,0,6313.449859229546,8919.36647498973,2605.916615760185,20154.199058826674,236.61130953273988,0,正常,0,13067.38361804378,7469.510738006765,5597.872880037016,62698.476062791866,6454.272630781019,1.1529866377991669,0.4939223351389786,0.5716148661689759,1.6983131944287886,1.0353856756479332,,0.0912402694937889,0.0011868092940753,0.2406312632839235,0.101394109626274,6,37,1.0
ENT_000006,企业_6,金属制品业,北京,小型,0,17455.226828596085,24548.04405051536,7092.817221919275,1935.244524840732,308.07557692602103,0,关注,0,95714.46801708233,60576.7595455558,35137.70847152653,6660.98495766066,547.0081971703177,0.015567554657515,0.0057150001301025,0.6328903122017515,2.307586077126989,1.417596594817555,,0.1127004048571148,0.2463484114593668,0.0264528833448067,0.0522302841117277,4,49,1.0
ENT_000007,企业_7,铁路航空制造业,江西,小型,0,27428.37931862481,37759.614681393774,10331.235362768964,1023.997037204226,78.78429508724417,0,正常,0,73690.06391362331,35629.68501746499,38060.37889615832,45261.82074950571,10218.038352928694,0.2684691705462781,0.1386623624713623,0.4835073159826371,1.4831161619800943,1.2410936852847576,,0.0726201363689503,-0.176638684272549,0.1791395013216009,0.0665602123732243,5,48,1.0
ENT_000008,企业_8,石油加工业,内蒙古,小型,0,2900.1203314813733,4310.320054646346,1410.1997231649725,1679.8651003869657,162.90612893597228,0,次级,1,14416.629106075829,7748.112510217034,6668.516595858792,6805.785529684124,308.0975353074044,-0.0306972853230801,-0.0072580340327187,0.95,0.7301585805367607,0.4755983753047584,,0.0025698131441167,0.2184156860350012,0.102963201986101,0.0964278627397923,4,26,1.0
ENT_000009,企业_9,石油加工业,海南,中型,0,25292.65241728997,31803.54098826168,6510.888570971707,5125.978808947494,158.25766796410284,0,正常,0,12648.591516925604,5147.191078400637,7501.400438524967,27726.66547983292,6634.035695819206,0.8843729581144297,0.5244880971088305,0.4069378848635413,2.397727403490068,1.8545035630595348,,0.0692669259921612,0.1491778212224007,0.2870988791756891,0.0848916939869619,3,45,1.0
ENT_000010,企业_10,电气机械制造业,西藏,微型,0,3466.394255666357,3994.280793076039,527.8865374096822,62.49913660159488,29.44937668933452,3,正常,1,33364.416417411165,18629.57610837588,14734.840309035288,6666.3439304748845,-74.81956519359456,-0.1076165974952286,-0.0544849916904016,0.95,1.7225157333802712,0.909157669932568,,0.0089939713391367,-0.0353242881334886,0.0622816297787366,0.0297353024566219,5,45,1.0
ENT_000011,企业_11,房地产业,江西,微型,0,2649.499240880173,3626.326010032041,976.8267691518676,3824.1706505630814,261.29115726471275,2,正常,0,37390.44116622456,25963.50273459672,11426.93843162784,12164.77438812884,-532.8750983478366,-0.0466332343992445,-0.0142516397701451,0.6943887775801374,2.806737459885918,1.899022118863532,,0.0640180819650441,-0.0886612852344996,0.0842146648450888,0.1370054067500796,7,45,1.0
ENT_000012,企业_12,卫生社会工作,山西,小型,0,8511.298624806266,11845.377888030644,3334.079263224377,270.6145168095498,174.24673855052052,0,次级,1,16419.019522566323,5247.870483158142,11171.14903940818,895.1661792864776,24.50210276008573,-0.096709993393654,-0.0470154000089457,0.6794321435526762,1.008288943254386,0.6840574647437928,,0.0926541231148641,-0.2620423925863677,0.0251199104002186,0.2035498259634829,6,32,1.0
ENT_000013,企业_13,电气机械制造业,重庆,中型,0,18535.356014717112,24652.472599823428,6117.116585106316,1748.2964800988907,105.6341181508992,1,正常,1,33577.433526014414,21980.19992355462,11597.233602459792,70196.69956899014,1256.5499389814258,0.0625236649602681,0.0248449066548163,0.95,1.235940535370322,0.9086859761103048,,0.0949897156870907,-0.0692762518620751,0.0675502920083009,0.071374065363463,8,37,1.0
ENT_000014,企业_14,酒饮料制造业,四川,小型,0,10245.099261822275,12117.157125713542,1872.0578638912664,2021.065737350936,7775.446412458162,0,正常,0,84881.83227496377,44555.57731891302,40326.254956050754,14330.882640066256,-1340.4668134529693,-0.0332405479981681,-0.0157921521900081,0.5249130011070091,1.40782110711518,1.2319772386969563,,0.0848179939118451,0.2070764982504495,-0.0566976256691748,0.1222418636091132,6,5,1.0
ENT_000015,企业_15,汽车制造业,云南,大型,0,126033.35258280709,164067.9972646501,38034.64468184303,14453.711346600676,274.67883268600264,4,正常,0,1409828.736242063,565114.9947202331,844713.74152183,114173.36142613506,-8940.771778413313,-0.0105843806474672,-0.0063417431838176,0.40083946382492,1.1427045546284205,0.857172223911734,,0.0177977566875931,0.0415871410581988,-0.0765194572287026,0.0587106349710025,6,20,1.0
ENT_000016,企业_16,食品制造业,北京,大型,0,65297.738608360654,79981.62599507833,14683.887386717674,790.9986063769237,7636.842676630376,0,正常,0,134268.24335966248,91565.01859396296,42703.22476569952,148089.3491916428,31221.40112433585,0.7311251385729959,0.2325300483801186,0.6819558840037031,2.3775824038440216,1.8156224235590104,,0.0182878411998915,0.2244471320587762,0.255153077056545,0.0805086355581786,4,7,1.0
ENT_000017,企业_17,电气机械制造业,新疆,中型,0,20333.583776871452,25843.712739472903,5510.128962601448,3667.6944848252942,81.02376040588338,0,正常,0,45697.50497739053,22544.485761168024,23153.019216222503,64991.28857829252,13265.032555723545,0.5729288449097475,0.2902791424233468,0.4933417212235595,1.3491296125423886,1.1466453453232397,,0.0095509274636125,-0.0429806605936828,-0.1166403366369202,0.2258709717474092,3,43,1.0
ENT_000018,企业_18,建筑业,重庆,小型,0,38475.31852337546,52252.84646484187,13777.527941466404,8458.707411589676,588.6905616118806,0,正常,0,59397.39471134723,25699.833133624245,33697.56157772298,1457.2613387947715,36.49685185566254,0.001083071004158,0.0006144520653309,0.4326761006693542,1.57037360498088,1.1955056077091368,,0.013593434512661,0.1560659240159844,0.0361763820604193,0.0636451053001541,5,23,1.0
ENT_000019,企业_19,科学研究服务业,四川,微型,0,9044.658087833272,12645.2089164771,3600.550828643827,5006.711662883501,101.9170703769932,0,正常,0,41574.94847974904,15490.786361747458,26084.162118001583,2268.30306271072,480.5801889237609,0.0184242141553052,0.0115593694399368,0.3725990513083364,1.5091841440600695,1.1395208938749974,,0.0117060620810866,-0.0576247903126632,0.3030685572541992,0.0837617895186525,8,1,1.0
ENT_000020,企业_20,食品制造业,广东,小型,0,5435.728025706662,6484.224932514728,1048.4969068080654,667.5396054966326,115.5336793456646,3,正常,0,30603.115138400863,12173.33419604874,18429.78094235212,24161.7552805712,2604.3056242648304,0.1413096353348437,0.0850993636591244,0.3977808841026648,2.2816530641168646,1.988518168882282,,0.0462374159085782,-0.0948362509314758,0.0294598409992785,0.0133470119108994,6,39,1.0
ENT_000021,企业_21,专用设备制造业,黑龙江,小型,1,1765.213240482378,2227.9288418575347,462.7156013751567,6620.095480174473,398.7204984200366,0,正常,0,333780.29764995107,211329.5296949326,122450.76795501848,20594.56770807777,3749.5906740407727,0.0306212099496032,0.0112337088211633,0.633139616636577,2.7944890652767,2.3389309445544977,0.9105978578683362,0.0604772195221876,0.0339309174243985,0.265748090737115,0.0642047140157384,5,3,1.0
ENT_000022,企业_22,住宿餐饮业,山东,小型,0,2220.119938236192,2681.160320206008,461.0403819698163,879.5685254569116,325.882525453182,0,正常,0,108535.46910141376,59234.75216316116,49300.716938252604,6283.502066550245,311.6671999750224,0.0063217579648055,0.002871570027341,0.5457640037268663,2.1668901532684437,1.891092183754813,,0.0083315940581196,-0.0497449766979994,-0.0182091441453683,0.0418599720724472,6,45,1.0
